ind_group,ind_label,horizon,beta,boot_se,p_value,bh_reject
2,Manufacturing_Construction,6,0.0011820376588481019,0.0025759900213674137,0.632,false
2,Manufacturing_Construction,7,-0.0032862010302607994,0.0026217377511651495,0.216,false
2,Manufacturing_Construction,8,0.002526007426615348,0.0026651406832843235,0.356,false
2,Manufacturing_Construction,9,0.0018390669292210533,0.002830273517760785,0.528,false
2,Manufacturing_Construction,10,0.0021218356814965617,0.0031951132705107447,0.48,false
2,Manufacturing_Construction,11,-0.0007959644401268232,0.0030215054600400077,0.768,false
2,Manufacturing_Construction,12,-0.0019045186231935274,0.003365643168146868,0.576,false
2,Manufacturing_Construction,13,0.006595040671812782,0.003280431622651455,0.048,false
2,Manufacturing_Construction,14,0.0007825693702028222,0.00306402639233097,0.844,false
2,Manufacturing_Construction,15,-0.0005636568544448824,0.0031966645115296287,0.82,false
2,Manufacturing_Construction,16,0.0035444378598326175,0.0029267355554150887,0.224,false
2,Manufacturing_Construction,17,0.0001430954341053566,0.0028862252716220105,0.996,false
2,Manufacturing_Construction,18,-0.0015174442991065058,0.003031376198349788,0.716,false
2,Manufacturing_Construction,19,-0.0029023704587875974,0.002545565295317643,0.308,false
2,Manufacturing_Construction,20,-0.001161962471365914,0.0029961783032522987,0.688,false
2,Manufacturing_Construction,21,0.00046281947565054044,0.0033613887515116293,0.896,false
2,Manufacturing_Construction,22,-0.0005920553586328131,0.003571474531265059,0.808,false
2,Manufacturing_Construction,23,0.0010011343330159756,0.003643757465363368,0.724,false
2,Manufacturing_Construction,24,0.0019938012101284835,0.0029033825463163315,0.448,false
2,Manufacturing_Construction,25,0.0034420361167232173,0.002556035385975592,0.192,false
2,Manufacturing_Construction,26,-0.0009936319573322025,0.002940303709428695,0.808,false
2,Manufacturing_Construction,27,-0.0014550999656185904,0.002900956306262982,0.656,false
2,Manufacturing_Construction,28,0.0021535293268862047,0.002661695935784975,0.408,false
2,Manufacturing_Construction,29,-0.0019264604043739081,0.0030318323721372628,0.568,false
2,Manufacturing_Construction,30,-0.002489283646929525,0.002847543464541697,0.364,false
2,Manufacturing_Construction,31,0.003738207510692061,0.002542136206718006,0.156,false
2,Manufacturing_Construction,32,0.00013170326207734032,0.003166629682382179,1.0,false
2,Manufacturing_Construction,33,0.0036912575566171286,0.003009489507425102,0.164,false
2,Manufacturing_Construction,34,0.00034873937028781965,0.002947792375284262,0.86,false
2,Manufacturing_Construction,35,0.0008491695428395084,0.0029825984846971747,0.868,false
2,Manufacturing_Construction,36,0.003123848974529619,0.003007708598419594,0.328,false
3,Trade,0,-0.0038250920456356042,0.004249565464669401,0.436,false
3,Trade,1,0.0037448586510842588,0.00393826272406004,0.328,false
3,Trade,2,0.000552513941207392,0.003464367902725389,0.848,false
3,Trade,3,0.004574284956731583,0.004577479297473428,0.308,false
3,Trade,4,8.321399760182555e-5,0.0046216722108971394,1.0,false
3,Trade,5,-0.0012161481780007277,0.004886365578540891,0.796,false
3,Trade,6,0.003274214068691302,0.004575144654046079,0.472,false
3,Trade,7,0.00019735966375288176,0.004288486785311443,0.904,false
3,Trade,8,0.006894363792108432,0.004074196523303141,0.092,false
3,Trade,9,-0.0011509137633101082,0.0037415136044420517,0.76,false
3,Trade,10,5.291380790448588e-5,0.003746383252161294,1.0,false
3,Trade,11,0.0025658364717026584,0.003917208290643512,0.504,false
3,Trade,12,0.00016392053812786021,0.0044477046269581514,0.94,false
3,Trade,13,0.005077239323440429,0.0037478710021012517,0.156,false
3,Trade,14,0.004530618009408508,0.004075530364874525,0.288,false
3,Trade,15,0.00081479471447993,0.0045914222654875,0.776,false
3,Trade,16,0.0019223726863728129,0.00407637333007025,0.6,false
3,Trade,17,-0.0031155836487447436,0.005088780078505565,0.616,false
3,Trade,18,0.006748924963627173,0.0042568613002743295,0.076,false
3,Trade,19,0.004305055514911453,0.004103241685347429,0.244,false
3,Trade,20,0.008435390689409033,0.00475845522619873,0.06,false
3,Trade,21,0.001543073979681026,0.003917853409058968,0.668,false
3,Trade,22,0.005480178811135363,0.004452794858734761,0.212,false
3,Trade,23,-0.004050412530630206,0.004178180769600034,0.328,false
3,Trade,24,0.005493061562431253,0.00392311052172939,0.124,false
3,Trade,25,0.0010213915979163616,0.004063599115217773,0.768,false
3,Trade,26,-0.0026038214648070224,0.004622029018161417,0.552,false
3,Trade,27,-0.0023561608656497675,0.0037226547395976094,0.612,false
3,Trade,28,-0.0038316562240404196,0.004114593436810598,0.412,false
