horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68,outcome,industry,industry_label,occ_id,occupation,source_file,cell_id
24,-0.0048245017354591,-0.012860114077492,0.0022137671563964,-0.0097502143963768,-0.000416184090514,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
25,-0.0085853737186239,-0.0163434673166763,-0.0009312878721541,-0.0131494447719584,-0.0041124327308011,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
26,-0.0048439489943864,-0.0127054296844879,0.0022842737805949,-0.0099097462231447,-0.0003973618314945,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
27,-0.0065509732825065,-0.0150334125836714,0.0007763009571878,-0.0114229856764254,-0.0021760721679854,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
28,-0.0072151456337167,-0.0165998750597563,0.001004337780393,-0.0128352218045923,-0.0020670565788468,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
29,-0.0036600703696664,-0.0112873480762725,0.0036128699623423,-0.0085385200135172,0.0001807287359399,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
30,-0.0033832778623789,-0.0113572732064875,0.0032586466474877,-0.0080457458128933,0.0006032741612647,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
31,-0.0063550543496323,-0.0152976370738458,0.0013521114326459,-0.0114009208043145,-0.0017194643309621,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
32,-0.0063803701473318,-0.0156866399298988,0.0005296621260036,-0.0122112072550579,-0.0021877311063099,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
33,-0.0140312353136177,-0.0212345850376335,-0.007593761642813,-0.0183371036943239,-0.0103136893487924,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
34,-0.0101555021882649,-0.0170095983141092,-0.0043892174338884,-0.0143678836972074,-0.0069033957082088,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
35,-0.010979887433272,-0.0185370411921,-0.0039721281133637,-0.0151057009778889,-0.0071118354173463,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
36,-0.007665759479121,-0.0156200378643654,-0.0009061320338178,-0.012471490100981,-0.0032956782306226,employment,Energy_intensive,Energy intensive,1,Managerial,result/occ_ind_4/employment/Energy_intensive/irf_occ1_Managerial.csv,Energy_intensive__occ1_Managerial
0,-0.0030824899343731,-0.0093731104369413,0.0025302392848938,-0.006595934235362,0.0002579969681595,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
1,-0.0026240496303663,-0.0103979429667074,0.0043379862777973,-0.007547595317031,0.0014412433657948,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
2,-0.004227860456454,-0.0132516172501531,0.0039284061096467,-0.009347340420976,0.0007141468233523,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
3,0.0047639129161931,-0.0049801478375651,0.0128031424266794,-0.0003747258138458,0.0099858778154584,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
4,0.0057861964429957,-0.0014373898259964,0.0117421731453063,0.0013862564709931,0.0095745963250561,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
5,0.0136759790143368,0.0055062151971461,0.0213981614993953,0.008317504019466,0.0180634826231782,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
6,0.0027452437318608,-0.0055615411115529,0.0101414482780247,-0.0021042244527682,0.0071566901625296,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
7,-0.0023927193832147,-0.0107192942472097,0.0056311329391078,-0.0074580533268759,0.0021875777249131,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
8,-0.0048490029552823,-0.0142391224967068,0.0032998909072655,-0.0105803667364975,-0.0001917420338173,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
9,-0.0001920142341332,-0.0104118091806063,0.0073242564377232,-0.0063532835501579,0.0043224590680386,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
10,-0.0048958917505505,-0.0161193434363561,0.003097448015321,-0.0112370643560492,4.264037447710214e-06,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
11,-0.00223677960585,-0.0123813636370178,0.007290023933178,-0.0079429903137147,0.0027774218576921,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
12,-0.0062184813164483,-0.0182760948010943,0.0029129077942362,-0.0129099327021886,-0.0011782232312707,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
13,-0.0102175454872396,-0.018804583671556,-0.0022411654632347,-0.0157664120286284,-0.0056563103660545,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
14,-0.0031703351156025,-0.0122842065291699,0.0054737689136529,-0.0088926342213031,0.0020644709340936,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
15,-0.0093713826844101,-0.0193258655999396,0.0001322713018199,-0.0149091628072542,-0.0042409051852471,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
16,0.0014011658600894,-0.0092901915568832,0.0098760885766776,-0.0043221006459493,0.0070534833816969,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
17,0.0038700010304877,-0.0056652240956467,0.0125015535322611,-0.0016491578286004,0.0095681807937753,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
18,0.0063065689948227,-0.0021801586418855,0.0167344059759902,0.0008306926065841,0.0124957823499398,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
19,0.0048772727208071,-0.0042318458346296,0.0162707305954028,-0.0006275461238404,0.0104887011558664,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
20,0.0033894086807593,-0.0045297779829318,0.0135023654685681,-0.0018425447548005,0.0092530389454274,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
21,0.0104100547380457,0.00108128774586,0.0207751394359538,0.0046594696055981,0.0170185959894244,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
22,0.0025370909588647,-0.0068693432286135,0.0144589938157293,-0.0032989073439482,0.0103347369746512,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
23,0.0046905477066779,-0.0040539878755905,0.0148329749155265,-0.0006895159371362,0.0110460117197066,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
24,0.0025074783054033,-0.0087942299017588,0.0146150090847326,-0.0037042418600976,0.0092939307110713,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
25,-0.0059493563981221,-0.0163852147875356,0.0068741212628704,-0.0116122807850654,0.0011850812725641,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
26,0.0014123747589582,-0.0116371371151112,0.0139468864024436,-0.0060600784783824,0.0094142652835182,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
27,-0.0081629925114599,-0.0186864450249478,0.003265982479049,-0.0136018404404188,-0.0020206456766966,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
28,-0.0049758061758068,-0.0141876387059348,0.0038401814113672,-0.0107374037877432,0.0002124464405266,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
29,0.0001735641732859,-0.0087449015885403,0.0114328385306233,-0.0050117833520254,0.0059761837336113,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
30,-0.0036798927961366,-0.0142797929847215,0.0088609421296178,-0.0104701498289046,0.0035371047288232,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
31,0.0030347114702999,-0.0081643491550018,0.017215109760808,-0.0039932157843313,0.0117030246253077,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
32,0.0014894350224191,-0.0089306674972952,0.0125527048142616,-0.0048862135919463,0.0081040173151248,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
33,-0.0011023118222849,-0.0102398923857583,0.0087850946003093,-0.0071199390344099,0.0045819586245768,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
34,-0.0115894090389053,-0.0200903582823976,-0.0030940835705562,-0.0167604552947764,-0.0064772005235948,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
35,-0.0054850252245814,-0.0146718838603593,0.0011693442883505,-0.0106620953206659,-0.0012917709939804,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
36,-0.000873124231526,-0.0107251061698422,0.007502418684453,-0.0073580570703025,0.0042583539444996,employment,Energy_intensive,Energy intensive,2,Professional specialty,result/occ_ind_4/employment/Energy_intensive/irf_occ2_Professional_specialty.csv,Energy_intensive__occ2_Professional_specialty
0,-0.010686417290753,-0.0196967051778903,-0.0014337273903174,-0.0159710748823218,-0.0052937722743828,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
1,-0.0103464152237252,-0.0237715451685493,0.0028800832660441,-0.0179219379673152,-0.002653993428759,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
2,-0.0047334768794873,-0.0207548446857356,0.0132592207554987,-0.0133517987659139,0.0052689989823037,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
3,-0.0072223804153347,-0.0231046643562237,0.0066507109971736,-0.0169453562100956,0.0013393192495053,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
4,0.0078400518909468,-0.0062120327667501,0.0229787350152389,-0.0014224511349561,0.0166978196586269,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
5,0.0059235755204181,-0.0079198640638576,0.0229096221316046,-0.0028282202628524,0.0159176243420394,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
6,-0.005797257925745,-0.0217624143728575,0.0108050051226228,-0.0155242417964166,0.0035728097560929,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
7,-0.0058155619478543,-0.0213695124583966,0.0095706746094927,-0.0152923344794598,0.0026855533266324,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
8,-0.0138709968965929,-0.0260453680415886,-0.0029930329889515,-0.0210528613172156,-0.0072106378385726,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
9,-0.0094046182966941,-0.024019458708162,0.0031357272345111,-0.0190905996589962,-0.0016527948380923,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
10,-0.0032221293892995,-0.0167967795520797,0.0102670611462876,-0.0122460252116949,0.0052744331819194,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
11,-0.0261214521142233,-0.0401101350172879,-0.0105402004280551,-0.035009155636935,-0.0165244553161852,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
12,-0.0200067752455639,-0.0351048708615319,-0.0022651272943705,-0.029004245886049,-0.0102657907830178,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
13,-0.0189492070983254,-0.033477963269479,-0.0044194018067114,-0.0272624415871117,-0.0107243836426614,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
14,-0.0135100034815975,-0.0288369537842921,0.0041901691009773,-0.0228748677804605,-0.0033490154659656,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
15,0.0016952881003669,-0.0113447129495625,0.0183279887754861,-0.0068918419926383,0.0123649770279714,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
16,0.0086283173482997,-0.0062878304482582,0.028509425921118,-0.000702984947274,0.0216067170762362,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
17,0.0146630332545258,-0.0004716607057807,0.0330825528998227,0.0052678098480282,0.0256419709971834,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
18,-0.0045291292488668,-0.0186696970708082,0.0135462099081433,-0.013341217370433,0.0066337207170191,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
19,0.0033904325006008,-0.0132647510774484,0.0218333973242702,-0.0066521660618226,0.0146148710857289,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
20,-0.0047241561441141,-0.0203809331576895,0.0121606969714998,-0.0143916736390465,0.0058511456663918,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
21,-1.2338599366363054e-05,-0.015294038214746,0.0187635255777749,-0.0101783723329347,0.0097831994895596,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
22,0.0069344719001736,-0.0077016614563718,0.0252862868506197,-0.0025282507278619,0.0176315579769273,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
23,-0.0079463303283966,-0.0248475673911699,0.0129432590133168,-0.018812776823932,0.0049652835217976,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
24,0.0038905905446604,-0.0124287776953982,0.0247771143686047,-0.006506495222053,0.016875919644948,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
25,0.004626726884433,-0.011689044650176,0.0273485078611225,-0.0047897101311432,0.0174408881117468,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
26,0.0090695278355134,-0.006892624525498,0.03074132467087,-0.0011785588878575,0.0221588553062887,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
27,-0.0001975713137611,-0.0162468138785461,0.0227942273791228,-0.0107408922365136,0.0130601596352316,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
28,-0.0038256849122625,-0.0203356764447969,0.0184945697936789,-0.0146151280402471,0.0093412993036658,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
29,-0.0105141970586842,-0.0279591050006821,0.0094906813421405,-0.0226376357633137,0.0007394573172449,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
30,-0.015852400007825,-0.0321649365704262,0.0040988863385605,-0.0257715233611699,-0.0043802104741325,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
31,-0.0293049901403208,-0.0440625395997188,-0.0105517839070622,-0.0386788100592274,-0.0180358999540439,employment,Energy_intensive,Energy intensive,3,High tech,result/occ_ind_4/employment/Energy_intensive/irf_occ3_High_tech.csv,Energy_intensive__occ3_High_tech
