occ_group,occ_label,horizon,beta,boot_se,p_value,bh_reject
5,Administrative_support,5,-0.00047051634529560583,0.00040617731470163923,0.264,false
5,Administrative_support,6,-4.3319129305416014e-5,0.00046145868482729056,1.0,false
5,Administrative_support,7,-0.0001624700735918309,0.00045019994632417476,0.728,false
5,Administrative_support,8,-6.32064109087693e-5,0.00045236165973547234,0.844,false
5,Administrative_support,9,0.0005151232734938255,0.00047359467307718967,0.24,false
5,Administrative_support,10,-1.0312651788492332e-5,0.0005644913407561174,1.0,false
5,Administrative_support,11,0.0002843564356829195,0.00046364893134864636,0.608,false
5,Administrative_support,12,0.00017757943641803965,0.0004934591228277988,0.688,false
5,Administrative_support,13,0.0002942647610481322,0.0005089830174579878,0.604,false
5,Administrative_support,14,-3.305392419640008e-5,0.0005018411826638429,0.82,false
5,Administrative_support,15,0.00032335716425017425,0.0005346244877896006,0.552,false
5,Administrative_support,16,0.0007007069166342364,0.0005177414149446777,0.144,false
5,Administrative_support,17,-0.00025824991335980885,0.0005616591472297943,0.668,false
5,Administrative_support,18,0.00048402836334592627,0.0005686889665054953,0.392,false
5,Administrative_support,19,9.295078658326294e-5,0.0005797206586832895,0.924,false
5,Administrative_support,20,0.00028886076029898197,0.0006748130334365421,0.732,false
5,Administrative_support,21,6.478487436244544e-5,0.0006106284215950838,0.932,false
5,Administrative_support,22,0.0001604112465994534,0.0006138052923419428,0.864,false
5,Administrative_support,23,-6.421473053226873e-5,0.0006248092056603624,0.876,false
5,Administrative_support,24,-0.00011557368546584042,0.0005610719900434169,0.856,false
5,Administrative_support,25,8.876786037217133e-5,0.0005156873809278354,0.828,false
5,Administrative_support,26,-0.0004748621554429542,0.0005474687954585134,0.356,false
5,Administrative_support,27,8.816921576667813e-5,0.000560973316463136,0.844,false
5,Administrative_support,28,0.0004604326017962942,0.00067073428507023,0.5,false
5,Administrative_support,29,0.0001925454763866857,0.0005133328924208711,0.708,false
5,Administrative_support,30,-7.911283490285379e-5,0.0006099032879086186,0.92,false
5,Administrative_support,31,0.000646338871025127,0.0005504704625839525,0.252,false
5,Administrative_support,32,0.00045796067510121184,0.0006111835515100481,0.432,false
5,Administrative_support,33,0.00021392369987118586,0.0005608991898015693,0.716,false
5,Administrative_support,34,0.00045267473745051273,0.0005614221097768753,0.48,false
5,Administrative_support,35,0.0001932838348955393,0.0005775894527325388,0.796,false
5,Administrative_support,36,-0.00018760574252830076,0.0006344134118892638,0.736,false
6,Service,0,-1.131485396963448e-5,0.0004023599627879297,0.92,false
6,Service,1,-0.0004220932589434102,0.00048750638140527197,0.36,false
6,Service,2,-0.00013858318495245495,0.0004554929166734474,0.76,false
6,Service,3,-8.842177911762716e-5,0.0004140221111399902,0.84,false
6,Service,4,0.0001113804579403641,0.0004045551840827203,0.792,false
6,Service,5,8.554267082383191e-5,0.00047573311882540817,0.952,false
