occ_group,occ_name,ind_group,ind_name,share,n_obs
9,Machine_operators_transport,3,Construction,0.073118836,5134
9,Machine_operators_transport,4,Manufacturing_nondurable,0.1961465,13480
9,Machine_operators_transport,5,Manufacturing_durable,0.29823446,20157
9,Machine_operators_transport,6,Transportation_utilities,0.12914357,8870
9,Machine_operators_transport,7,Wholesale_trade,0.05907427,3936
9,Machine_operators_transport,8,Retail_trade,0.12787937,8764
9,Machine_operators_transport,9,Finance_insurance_realestate,0.0026219448,179
9,Machine_operators_transport,10,Business_repair_services,0.04391876,2839
9,Machine_operators_transport,11,Personal_entertainment_services,0.019628542,1384
9,Machine_operators_transport,12,Professional_related_services,0.03163784,2244
9,Machine_operators_transport,13,Public_administration,0.007106654,500
