ind_group,ind_label,horizon,beta,boot_se,p_value,bh_reject
2,Manufacturing_Construction,4,-0.0011802107199068706,0.0038517433994447,0.66,false
2,Manufacturing_Construction,5,-0.0009378978859512754,0.004116618287445002,0.752,false
2,Manufacturing_Construction,6,-0.0009651679174911488,0.003759311945047004,0.784,false
2,Manufacturing_Construction,7,-0.004553508685685734,0.004084749121004197,0.276,false
2,Manufacturing_Construction,8,-0.0041568867743395676,0.0036341680024705226,0.276,false
2,Manufacturing_Construction,9,-0.004400432821788369,0.0036103286491076052,0.26,false
2,Manufacturing_Construction,10,-0.003341827217597953,0.0037914989276817143,0.388,false
2,Manufacturing_Construction,11,-0.001817374804059794,0.004012025810733087,0.732,false
2,Manufacturing_Construction,12,-0.003105096042943596,0.004223690713078731,0.516,false
2,Manufacturing_Construction,13,-0.0020408784136142816,0.004378466679971664,0.668,false
2,Manufacturing_Construction,14,-0.0023017215152951968,0.0050127978519135434,0.648,false
2,Manufacturing_Construction,15,-0.003519310674398317,0.005447618787089747,0.548,false
2,Manufacturing_Construction,16,-0.004141190873012122,0.005399509621721325,0.464,false
2,Manufacturing_Construction,17,-0.003387892872967079,0.005721509406177529,0.568,false
2,Manufacturing_Construction,18,-0.005442641911395041,0.005327547129922058,0.244,false
2,Manufacturing_Construction,19,-0.008684622127658524,0.004895782394623068,0.064,false
2,Manufacturing_Construction,20,-0.009207690134812267,0.004892388190557555,0.032,false
2,Manufacturing_Construction,21,-0.009922029893202313,0.0047579191863548805,0.008,false
2,Manufacturing_Construction,22,-0.0075228914090029195,0.004798301240520629,0.116,false
2,Manufacturing_Construction,23,-0.007411609887497437,0.00477057163031802,0.112,false
2,Manufacturing_Construction,24,-0.008059467613574624,0.0048841008325267955,0.08,false
2,Manufacturing_Construction,25,-0.004691436795165051,0.0044940654810279685,0.328,false
2,Manufacturing_Construction,26,-0.0029070962900020693,0.004819266947699171,0.588,false
2,Manufacturing_Construction,27,-0.004156903109875355,0.005238079293952405,0.44,false
2,Manufacturing_Construction,28,-0.006272746023014831,0.0053558125826968644,0.272,false
2,Manufacturing_Construction,29,-0.007719487432856435,0.005614078455305548,0.2,false
2,Manufacturing_Construction,30,-0.007896309176733224,0.0052870884060797286,0.148,false
2,Manufacturing_Construction,31,-0.007866575637627398,0.0051552248669893405,0.144,false
2,Manufacturing_Construction,32,-0.009169557148906929,0.004898773056929666,0.04,false
2,Manufacturing_Construction,33,-0.007021842456524356,0.004898568999766926,0.14,false
2,Manufacturing_Construction,34,-0.006567929169482505,0.004720172661718238,0.172,false
2,Manufacturing_Construction,35,-0.005698716853923244,0.004905172843969834,0.292,false
2,Manufacturing_Construction,36,-0.0056403429056853934,0.005015274987259283,0.252,false
3,Trade,0,-0.0055227962510896,0.002580093037864083,0.012,false
3,Trade,1,-0.001636756575145138,0.0030102589210723525,0.548,false
3,Trade,2,0.0024532773942779846,0.003694660098402094,0.508,false
3,Trade,3,0.0001333686584488023,0.0027470944856548087,0.884,false
3,Trade,4,-0.003722056533659031,0.0028925474353563526,0.192,false
3,Trade,5,-0.004071263636402289,0.003005321938701558,0.124,false
3,Trade,6,-0.0039023001310795765,0.002370844957052692,0.108,false
3,Trade,7,-0.00592190909466917,0.0025821223255973282,0.016,false
3,Trade,8,-0.006005520151329667,0.002450745135357703,0.02,false
3,Trade,9,-0.0040052961430405475,0.0022968001391747467,0.104,false
3,Trade,10,-0.002016870383912595,0.00226793219252541,0.428,false
3,Trade,11,-0.0017618152330205062,0.002886959076176507,0.576,false
3,Trade,12,-0.004864710486583041,0.00242015591220077,0.06,false
3,Trade,13,-0.005336875754006933,0.0023079790968703654,0.02,false
