outcome,horizon,feature,coef,pvalue,sig_5pct,r2
hourly_rate,12,"Activities_Organizing, Planning, and Prioritizing Work",0.0041,0.0918,False,0.3171
hourly_rate,12,Abilities_Dynamic Flexibility,-0.0039,0.1067,False,0.3171
hourly_rate,12,Knowledge_Customer and Personal Service,0.0029,0.0317,True,0.3171
hourly_rate,12,Abilities_Near Vision,0.0013,0.3729,False,0.3171
hourly_rate,36,RTI_index,-0.054,0.0,True,0.3137
hourly_rate,36,Knowledge_Customer and Personal Service,0.0273,0.0,True,0.3137
hourly_rate,36,Knowledge_Mechanical,-0.0238,0.0,True,0.3137
hourly_rate,36,Knowledge_Public Safety and Security,-0.0225,0.0,True,0.3137
hourly_rate,36,Knowledge_Mathematics,0.0161,0.0011,True,0.3137
hourly_rate,36,Abilities_Near Vision,0.0155,0.0016,True,0.3137
hourly_rate,36,Abilities_Rate Control,-0.0114,0.0105,True,0.3137
hourly_rate,36,"Activities_Organizing, Planning, and Prioritizing Work",0.0057,0.4205,False,0.3137
hourly_rate,36,Knowledge_English Language,0.0026,0.5393,False,0.3137
hourly_rate,36,Abilities_Far Vision,-0.0023,0.6406,False,0.3137
hours,6,"Activities_Operating Vehicles, Mechanized Devices, or Equipment",-0.0018,0.0,True,0.1707
hours,6,Abilities_Dynamic Flexibility,0.0013,0.0,True,0.1707
hours,6,Knowledge_Biology,-0.0012,0.002,True,0.1707
hours,6,Abilities_Gross Body Equilibrium,0.001,0.0,True,0.1707
hours,6,Knowledge_Food Production,-0.001,0.0,True,0.1707
hours,6,Activities_Developing and Building Teams,-0.0008,0.0,True,0.1707
hours,6,Knowledge_Administrative,-0.0006,0.0716,False,0.1707
hours,6,Skills_Persuasion,-0.0006,0.1203,False,0.1707
hours,6,Knowledge_Public Safety and Security,0.0006,0.0302,True,0.1707
hours,6,Activities_Assisting and Caring for Others,0.0005,0.006,True,0.1707
hours,12,Abilities_Dynamic Flexibility,-0.0045,0.0,True,0.1147
hours,12,Abilities_Category Flexibility,0.0023,0.0,True,0.1147
hours,12,RTI_index,0.0019,0.0001,True,0.1147
hours,12,Skills_Management of Financial Resources,-0.0013,0.0885,False,0.1147
hours,12,"Activities_Operating Vehicles, Mechanized Devices, or Equipment",0.0008,0.09,False,0.1147
hours,12,Skills_Persuasion,-0.0008,0.2009,False,0.1147
hours,12,Activities_Training and Teaching Others,-0.0007,0.049,True,0.1147
hours,12,Abilities_Gross Body Equilibrium,-0.0006,0.0765,False,0.1147
hours,12,Knowledge_Biology,-0.0005,0.482,False,0.1147
hours,12,Knowledge_Public Safety and Security,-0.0004,0.4182,False,0.1147
hours,36,Activities_Training and Teaching Others,-0.013,0.0,True,0.1234
hours,36,Activities_Getting Information,0.0091,0.0,True,0.1234
hours,36,Skills_Technology Design,-0.0049,0.0002,True,0.1234
hours,36,Abilities_Gross Body Equilibrium,0.0048,0.0029,True,0.1234
hours,36,Knowledge_Public Safety and Security,0.0045,0.0369,True,0.1234
hours,36,Skills_Persuasion,-0.0043,0.0327,True,0.1234
hours,36,Skills_Operations Analysis,0.0025,0.1158,False,0.1234
hours,36,"Activities_Operating Vehicles, Mechanized Devices, or Equipment",-0.0024,0.0285,True,0.1234
hours,36,Knowledge_Fine Arts,0.0008,0.4961,False,0.1234
hours,36,Knowledge_Biology,0.0003,0.8781,False,0.1234
income_share,6,Activities_Providing Consultation and Advice to Others,0.002,0.0,True,0.5224
income_share,6,Skills_Persuasion,0.001,0.0,True,0.5224
income_share,6,Activities_Performing Administrative Activities,0.0009,0.0001,True,0.5224
income_share,6,Activities_Getting Information,-0.0008,0.0,True,0.5224
income_share,6,Knowledge_Fine Arts,-0.0007,0.0001,True,0.5224
income_share,6,Activities_Monitoring and Controlling Resources,0.0007,0.0001,True,0.5224
income_share,6,Knowledge_History and Archeology,-0.0006,0.0125,True,0.5224
income_share,6,Skills_Science,0.0006,0.0014,True,0.5224
income_share,6,Activities_Repairing and Maintaining Electronic Equipment,-0.0004,0.0017,True,0.5224
income_share,6,Skills_Management of Financial Resources,0.0001,0.7155,False,0.5224
income_share,12,Knowledge_Customer and Personal Service,0.0048,0.0,True,0.5317
income_share,12,Knowledge_History and Archeology,0.0022,0.0,True,0.5317
income_share,12,Activities_Repairing and Maintaining Electronic Equipment,-0.0019,0.0,True,0.5317
income_share,12,Skills_Science,0.0018,0.0,True,0.5317
income_share,12,Activities_Monitoring and Controlling Resources,0.0014,0.0001,True,0.5317
income_share,12,Skills_Persuasion,-0.001,0.0003,True,0.5317
income_share,12,Activities_Performing Administrative Activities,-0.0008,0.0333,True,0.5317
income_share,12,Skills_Management of Financial Resources,0.0007,0.0928,False,0.5317
income_share,12,Knowledge_Fine Arts,-0.0006,0.0468,True,0.5317
income_share,12,Activities_Getting Information,-0.0003,0.6481,False,0.5317
income_share,36,Activities_Repairing and Maintaining Electronic Equipment,0.0152,0.0,True,0.4942
income_share,36,Activities_Monitoring and Controlling Resources,0.0061,0.0,True,0.4942
income_share,36,Activities_Performing Administrative Activities,-0.0058,0.0,True,0.4942
income_share,36,Skills_Persuasion,0.0048,0.0,True,0.4942
income_share,36,Knowledge_Fine Arts,-0.0021,0.0055,True,0.4942
income_share,36,Skills_Science,0.001,0.3828,False,0.4942
income_share,36,Skills_Management of Financial Resources,-0.0007,0.4786,False,0.4942
income_share,36,Knowledge_History and Archeology,-0.0002,0.8721,False,0.4942
inequality,6,Activities_Coordinating the Work and Activities of Others,-0.008,0.0,True,0.351
inequality,6,Abilities_Far Vision,-0.0065,0.0,True,0.351
inequality,6,Knowledge_Production and Processing,-0.0051,0.0,True,0.351
inequality,6,Activities_Selling or Influencing Others,0.005,0.0,True,0.351
inequality,6,Abilities_Fluency of Ideas,-0.0042,0.0,True,0.351
inequality,6,Knowledge_Public Safety and Security,0.004,0.0001,True,0.351
inequality,6,Abilities_Near Vision,0.0029,0.0094,True,0.351
inequality,6,Abilities_Spatial Orientation,0.0028,0.0034,True,0.351
inequality,6,Knowledge_Mechanical,0.0026,0.0106,True,0.351
inequality,6,Abilities_Category Flexibility,0.0006,0.4701,False,0.351
inequality,12,Knowledge_Public Safety and Security,-0.0138,0.0,True,0.2686
inequality,12,Abilities_Far Vision,-0.0114,0.0,True,0.2686
inequality,12,"Activities_Organizing, Planning, and Prioritizing Work",-0.0111,0.0,True,0.2686
inequality,12,Activities_Coordinating the Work and Activities of Others,-0.0108,0.0,True,0.2686
inequality,12,Knowledge_Mechanical,0.0086,0.0016,True,0.2686
inequality,12,Abilities_Near Vision,0.0071,0.0013,True,0.2686
inequality,12,Activities_Selling or Influencing Others,0.0065,0.0028,True,0.2686
inequality,36,Knowledge_Public Safety and Security,-0.051,0.0,True,0.2742
inequality,36,Abilities_Far Vision,-0.0377,0.0,True,0.2742
inequality,36,Activities_Coordinating the Work and Activities of Others,0.0313,0.0,True,0.2742
inequality,36,Activities_Selling or Influencing Others,-0.0263,0.0001,True,0.2742
inequality,36,Knowledge_Law and Government,-0.0262,0.0002,True,0.2742
inequality,36,Abilities_Near Vision,0.0243,0.0006,True,0.2742
inequality,36,Knowledge_Mechanical,0.0048,0.4834,False,0.2742
median,6,Knowledge_English Language,-0.0054,0.0,True,0.3414
median,6,Knowledge_Geography,0.0051,0.0001,True,0.3414
median,6,Abilities_Near Vision,0.005,0.0,True,0.3414
median,6,Abilities_Stamina,-0.0044,0.0002,True,0.3414
median,6,Knowledge_Mechanical,-0.0041,0.0001,True,0.3414
median,6,Abilities_Finger Dexterity,-0.0029,0.0005,True,0.3414
median,6,"Activities_Organizing, Planning, and Prioritizing Work",-0.0026,0.0183,True,0.3414
median,6,Abilities_Far Vision,-0.0023,0.0274,True,0.3414
median,6,Skills_Installation,-0.002,0.0097,True,0.3414
median,6,RTI_index,-0.0006,0.6203,False,0.3414
median,12,Skills_Installation,-0.0109,0.0,True,0.3496
median,12,Abilities_Stamina,-0.0105,0.0,True,0.3496
median,12,Knowledge_Mechanical,-0.0081,0.0,True,0.3496
median,12,Abilities_Near Vision,0.0079,0.0,True,0.3496
median,12,RTI_index,-0.007,0.0016,True,0.3496
median,12,Knowledge_Economics and Accounting,-0.0064,0.0004,True,0.3496
median,12,Knowledge_Public Safety and Security,0.0028,0.0996,False,0.3496
median,12,Abilities_Far Vision,0.0024,0.071,False,0.3496
median,12,Abilities_Finger Dexterity,-0.0023,0.2119,False,0.3496
median,12,"Activities_Organizing, Planning, and Prioritizing Work",0.0016,0.5058,False,0.3496
median,36,Abilities_Speed of Limb Movement,-0.0441,0.0,True,0.3285
median,36,Skills_Installation,-0.0329,0.0,True,0.3285
median,36,Knowledge_Mechanical,-0.0313,0.0,True,0.3285
median,36,RTI_index,0.0301,0.0027,True,0.3285
median,36,Abilities_Far Vision,-0.0236,0.0146,True,0.3285
median,36,Abilities_Near Vision,-0.0204,0.0013,True,0.3285
median,36,Knowledge_Public Safety and Security,0.0183,0.0019,True,0.3285
median,36,Knowledge_Food Production,0.0175,0.0007,True,0.3285
median,36,Abilities_Explosive Strength,-0.0137,0.0074,True,0.3285
median,36,Abilities_Rate Control,-0.0084,0.1431,False,0.3285
