ind_group,ind_label,horizon,beta_abs,theta,boot_se,p_value,bh_reject
3,Construction,25,-4.6789720572335594e-5,NaN,0.0019669764764331877,1.0,false
3,Construction,26,0.000506215900980004,NaN,0.001736442498624156,0.808,false
3,Construction,27,0.0013210233248897665,NaN,0.0017194782486834295,0.368,false
3,Construction,28,0.0022152427942126207,NaN,0.0019974715062482467,0.216,false
3,Construction,29,-0.0011128950736639515,NaN,0.0018623497753880605,0.512,false
3,Construction,30,-0.001244134453793227,NaN,0.0017015834022114519,0.524,false
3,Construction,31,-0.001203761168690952,NaN,0.0016166477408790585,0.488,false
3,Construction,32,-0.0006811074799515982,NaN,0.0017394028947561625,0.844,false
3,Construction,33,0.0005462615841389189,NaN,0.001573040748981672,0.78,false
3,Construction,34,0.0010194030070686945,NaN,0.0014613642168542966,0.42,false
3,Construction,35,0.0005395011285229354,NaN,0.0016131223980009068,0.692,false
3,Construction,36,0.001118009420551733,NaN,0.0017519593622081107,0.464,false
4,Manufacturing_nondurable,0,0.001045504323729329,NaN,0.001589321762028431,0.472,false
4,Manufacturing_nondurable,1,0.0009939373448697134,NaN,0.0012636126202963626,0.364,false
4,Manufacturing_nondurable,2,0.0009406177718131264,NaN,0.0013976097263081332,0.556,false
4,Manufacturing_nondurable,3,0.00010267776697000589,NaN,0.001322955927410176,0.968,false
4,Manufacturing_nondurable,4,0.001475266531821514,NaN,0.0014206353720447357,0.312,false
4,Manufacturing_nondurable,5,0.0013500707505511198,NaN,0.0014026104199131592,0.308,false
4,Manufacturing_nondurable,6,0.002169440679671929,NaN,0.001905410323412281,0.3,false
4,Manufacturing_nondurable,7,-0.0008984085745598476,NaN,0.0018037519178447504,0.656,false
4,Manufacturing_nondurable,8,0.0004271424345169896,NaN,0.0016598788321103783,0.752,false
4,Manufacturing_nondurable,9,4.672624534969074e-5,NaN,0.0013464556113211691,1.0,false
4,Manufacturing_nondurable,10,0.0016475506701377734,NaN,0.001544476112559438,0.296,false
4,Manufacturing_nondurable,11,-7.161888721576398e-6,NaN,0.0014909752017609867,0.956,false
4,Manufacturing_nondurable,12,3.613214751056063e-5,NaN,0.0016961604594361531,0.984,false
4,Manufacturing_nondurable,13,-0.00048089240155792294,NaN,0.0013980974627898382,0.74,false
4,Manufacturing_nondurable,14,0.0011341813726622758,NaN,0.0018511308569047872,0.52,false
4,Manufacturing_nondurable,15,-0.002749046840389519,NaN,0.0016111626196304526,0.064,false
4,Manufacturing_nondurable,16,0.0014616586192274083,NaN,0.0015915580405913559,0.308,false
4,Manufacturing_nondurable,17,0.00020697084095443728,NaN,0.0016462686915498287,0.876,false
4,Manufacturing_nondurable,18,0.0011350338454279305,NaN,0.0015632820875244734,0.468,false
4,Manufacturing_nondurable,19,-0.0004620850720037562,NaN,0.001830881072219184,0.82,false
4,Manufacturing_nondurable,20,-0.0002963846040051617,NaN,0.0016859359904184597,0.868,false
4,Manufacturing_nondurable,21,-0.002836905056882051,NaN,0.0014368507855568823,0.048,false
4,Manufacturing_nondurable,22,0.0002504285144506533,NaN,0.0015525157813860004,0.844,false
4,Manufacturing_nondurable,23,-0.001004695003515437,NaN,0.0017892639636140266,0.564,false
4,Manufacturing_nondurable,24,0.0008174002611707762,NaN,0.0018153640053349984,0.636,false
4,Manufacturing_nondurable,25,-0.002156591801745823,NaN,0.001403970672205167,0.16,false
4,Manufacturing_nondurable,26,0.00031408497720210896,NaN,0.0013859641145932437,0.732,false
4,Manufacturing_nondurable,27,0.0003661317553514242,NaN,0.0014649322620836384,0.788,false
4,Manufacturing_nondurable,28,0.001811437019780041,NaN,0.0015462898403091328,0.212,false
4,Manufacturing_nondurable,29,-0.00021033458208550052,NaN,0.001464716904338197,0.876,false
4,Manufacturing_nondurable,30,-0.0006500916253087655,NaN,0.0016627363193593278,0.7,false
4,Manufacturing_nondurable,31,-0.00042826879452933955,NaN,0.0016007125479051084,0.776,false
4,Manufacturing_nondurable,32,-7.217128088581098e-6,NaN,0.0016024482517547425,1.0,false
4,Manufacturing_nondurable,33,-0.000282636575638494,NaN,0.0015575253015614686,0.812,false
4,Manufacturing_nondurable,34,0.00023056337199839797,NaN,0.0014367088536612364,0.824,false
4,Manufacturing_nondurable,35,0.0004519557272864399,NaN,0.0013210933309850427,0.668,false
