horizon,group1_Managerial,group2_Professional_specialty,group3_High_tech,group4_Sales,group5_Administrative_support,group6_Service,group7_Farming_forestry_construction,group8_Precision_production_repair,group9_Machine_operators_transport
19,-0.002153537508874266,-0.0018308989090645722,0.0007265926763333477,-0.0015471463502785344,-0.0005461179725084105,0.0008983358257026137,-0.0012878678353839864,-0.002443004468943425,-0.00021815705172355658
20,-0.004295897921816979,-0.003396412787358991,-0.0005079346075391633,0.0016082874247815495,3.04516785019342e-5,-0.0007731760120813384,0.005637592053540781,0.0006066401743747554,-0.0011830451718110625
21,-0.002355578516899744,-0.0014728217011369185,-0.0007539249471227751,-0.0038384710023648496,-0.0015243261739134744,-0.0002100519074401633,-0.0022650417432046885,-0.0070179133196102104,-0.00047723124244942143
22,-0.0040842111274280325,-0.0007447732835721473,-0.007301013100535334,-0.007048445874212068,-0.0010571806269390122,-0.0001587362773620443,-0.002625500336646224,-0.0018116390338040688,-0.0010691182806119132
23,-0.001173376681067188,0.0015214950575511233,0.0010480660255427958,-0.006763036663533747,-0.0023008204382466316,-0.0009289598997097312,-0.005093364324252893,-0.007859180034277114,-9.293338493804307e-5
24,1.2796139616447097e-5,0.000989118204781892,0.0015980342728690697,0.0016955171903963269,0.003732401770171106,0.001328506770010934,-0.0018131934089387727,-0.000928642140307121,0.0017964874419200087
25,0.0030278590019647608,0.0029957525220151437,0.000881683075669964,-0.0007800297295088616,0.0025498199843216893,-0.0003821825722463795,-0.006194512702055217,-0.0025613211106443024,0.001320038085116496
26,-0.0019108995840998318,0.0033959022476425394,0.0024288043045453274,-0.0010548859959473946,-0.0010826104665131598,0.0005163826714792045,-0.0024440981630304854,-0.006417236027968219,-0.0030626556947615435
27,-0.0024572696664032835,-6.323927073635642e-5,-0.003575901047858578,-0.003373134655084709,0.001008979546576487,-0.002040992362313224,-0.0012949363312591343,-0.0042175587616639365,0.0005400312469073773
28,-0.0013043471188554608,-0.001431498237646832,-0.0029949748058648714,-0.0015238574594987988,0.00042443915535653626,0.003198998336593228,-0.0017824632354522273,-0.00804370651888785,-0.002353968188145452
29,0.0013560485476642953,0.0008899703570078816,-0.0017808235205012527,-0.004379053629332909,0.0007043817404813469,0.001706113185261777,-0.0046678156061693435,-0.001600061809429906,0.0001423095980367565
30,-0.0008258610128523394,-0.0017397212159982326,-0.0015578595069675075,-0.00636967581519647,-0.0030055193192699624,0.0011006069602961812,0.0009131937049866274,0.0011868409835879838,-0.0014733069577220436
31,-0.002675469903993104,0.0005479935372322574,-0.0016182808410348606,-0.005939468052118007,0.0004224321493451024,0.0016201428851223916,-0.00739295551693157,-0.000988106237638809,-0.00039581945460580683
32,0.0029361205869241503,-0.001729098949423126,-0.0008486607551065936,-0.004929678490504587,7.07352501035501e-5,-0.001792275752128825,-0.0003296407496309173,-0.005832767141510039,-0.00220497266900145
33,0.00022419583789108223,0.0009438734536274447,-0.004922146649827737,-0.004432267365918865,0.0007757852496883802,0.003698427090420529,0.0025785215065220837,-0.006539614892903534,-0.001532008409524119
34,-0.0011219831545564321,0.0015950979145129896,-0.0012804802785180574,-0.005402891574570254,-0.0004202712502614685,-0.001183562713280281,-0.005860349081758164,-0.004050299301882616,-0.00256613705723751
35,-0.0012225557568661303,0.0003898773341682156,-0.0069298480540580165,-0.004151719795672818,-0.0016018727527953266,-0.0039048663824327486,-0.007974316054686497,-0.0031415386326630905,-0.00217600071633331
36,-0.001221751579305754,-0.0022383784010275407,-0.001788453097424115,-0.0015748932301446472,-0.00039612009138355423,-0.0038029045627803655,-0.0009352179313371922,-0.005539017732792852,-0.002577063904088183
