horizon,group1_Managerial,group2_Professional_specialty,group3_High_tech,group4_Sales,group5_Administrative_support,group6_Service,group7_Farming_forestry_construction,group8_Precision_production_repair,group9_Machine_operators_transport
23,-0.00028021544958532464,-0.0033743741654280244,-0.003259121196145799,-0.0033724667366161615,-0.0005178463152027343,-0.0024986102962493324,-0.0045663280329078775,-0.0012462123995494083,0.00026134637885157514
24,-0.0023192845305784397,-0.0022322264793047755,0.00030133140601451016,-0.002597084095772055,-0.001182036967792008,-0.0019839993330626887,-0.003661808378597275,-0.0034113332180382297,-0.0014142042316673835
25,-0.002703563367036043,-0.0033768612989896396,-0.004383138381422267,-0.0035405092909587166,-0.003205438063898638,-0.0022077568819528414,-0.003356401784926964,-0.0021405082872564024,-0.0018014929818541158
26,-0.0016049235730196169,-0.0009493546031037303,-0.002524700641528171,-0.003156562019633081,-0.003015553979795258,-0.00302956846602386,-0.0009630953364046709,-0.001469158295851769,-0.001888441674459898
27,-0.0022795235480247635,-0.0007660575397317556,-0.00248202776102748,-0.0024610669807774124,-0.0030634408511895756,-0.0023829986810061424,-0.0018957385146019321,-0.001703587004639962,-0.0018124357583802072
28,0.00029387778673174426,-0.0004109884098059707,0.0038174391812423425,-0.0012830121523187293,0.0020924391024693205,-0.00017535211215256733,-0.0015971059195653782,-0.0018471333773402516,-3.5310589665125436e-5
29,-0.0009710468431543577,-0.0004877353282563739,-0.00044520300033471286,-0.00114938872021851,0.0005600624475193465,-0.0011804280103982353,-0.004462853268583243,-0.0021824954821571883,-0.0016517800649175603
30,-0.0010340025033150852,-0.000405946299882998,-0.001428783657329682,-0.0037560374121920173,-0.002103450206148429,-0.0024693920218920038,-0.0026893330076028215,-0.001475688431065287,-0.001637989319833733
31,-0.0005110040015543137,-0.003355194599749462,-0.0037023295449849377,-0.0038735168830435892,-0.0021374139645685655,-0.00420788505653114,-0.0025263947629792023,-0.0023903069520749224,-0.0005764780148970928
32,-0.0009991141579171353,-0.003878701980996644,-0.0024953809314324014,-0.006869502879779437,-0.0035467375435447182,-0.00465439031688371,-0.004360043348506072,-0.00265862488338958,-0.0018309300078836273
33,-0.0005807704790250436,-0.0035247790122450383,-0.003437530747726346,-0.005386289783265535,-0.00223269366237626,-0.0033343836732965208,-0.005835263555945545,-0.0045978490209831946,-0.0011567009276722447
34,-0.0008414440596497093,-0.0021324715024691153,-0.0013348698509610725,-0.005346282780064955,0.0003441396232768397,-0.0031152895405210323,-0.0021576973809376843,-0.001152795611720373,-0.0013050838516985633
35,-0.0013870567919600774,-0.0030844307754250198,-6.716300803138901e-5,-0.0017045454574289264,-0.0015877935082428487,-0.0030049788282568947,-0.003884221442359017,-0.0012643490983778021,-0.0006419545533945831
36,-0.00027940632150527406,-0.002455588516414807,-0.0005476569441643527,-0.002651438881168525,-0.00235311594688597,-0.0032798183482993467,-0.003025146904114618,-0.0016552991019383914,-0.00032769012055520373
