outcome,industry,occupation,horizon,beta,ci_lo90,ci_hi90,sig90
by_occupation,hours,Farming/forestry/construction,22,-0.004198135005616574,-0.008996091832045878,-7.257534081423368e-5,true
by_occupation,hours,Farming/forestry/construction,22,-0.0018923834574945213,-0.0038347633592249047,0.00028997105220207836,false
by_occupation,hours,Farming/forestry/construction,22,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,22,-0.004512899730460861,-0.009468881852556604,0.0003705768800595869,false
by_occupation,hours,Farming/forestry/construction,23,-0.003026422017025983,-0.007817077448705629,0.0014070413189853567,false
by_occupation,hours,Farming/forestry/construction,23,-0.004197127966895625,-0.006436259543622834,-0.0023726652281406695,true
by_occupation,hours,Farming/forestry/construction,23,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,23,-0.004958295781247295,-0.009412782394826213,-0.0009583317207077146,true
by_occupation,hours,Farming/forestry/construction,24,-0.002275177153033188,-0.00764670944071187,0.0023302540911179005,false
by_occupation,hours,Farming/forestry/construction,24,-0.0016473611272714629,-0.0041218235152669525,0.0005194302260136748,false
by_occupation,hours,Farming/forestry/construction,24,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,24,-0.006991749780430325,-0.010546438183978083,-0.002518372012227408,true
by_occupation,hours,Farming/forestry/construction,25,-0.0013254314702573148,-0.0059686179804927285,0.0037045130132162913,false
by_occupation,hours,Farming/forestry/construction,25,-0.0035789656609416997,-0.006539790072679877,-0.0015162850569013652,true
by_occupation,hours,Farming/forestry/construction,25,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,25,-0.0022360385816058265,-0.006138825884676457,0.000778822932341433,false
by_occupation,hours,Farming/forestry/construction,26,-0.0018788535976058866,-0.006292748626517188,0.002929906292204393,false
by_occupation,hours,Farming/forestry/construction,26,-0.0018054898810110295,-0.004226682603093027,0.0005254902629690352,false
by_occupation,hours,Farming/forestry/construction,26,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,26,0.0007875518606838881,-0.0025151978577306923,0.0050723981590855526,false
by_occupation,hours,Farming/forestry/construction,27,0.003965099348984227,-0.0007683549218607056,0.008921422860272844,false
