occ_group,occ_label,horizon,theta,boot_se,p_value,bh_reject
7,Farming_forestry_construction,23,-0.00680948491833943,0.006472729584407824,0.296,false
7,Farming_forestry_construction,24,-0.0069554049850575105,0.006998337980240768,0.356,false
7,Farming_forestry_construction,25,-0.015008428265157048,0.00633064885018879,0.016,false
7,Farming_forestry_construction,26,-0.006800961176243884,0.0069533008654333595,0.288,false
7,Farming_forestry_construction,27,-0.001397215592108144,0.006828970251290125,0.784,false
7,Farming_forestry_construction,28,-0.0035584146377358114,0.006333582006733655,0.58,false
7,Farming_forestry_construction,29,-0.011719885661635898,0.006681120769113709,0.092,false
7,Farming_forestry_construction,30,-0.006495208253249266,0.007129288262016391,0.36,false
7,Farming_forestry_construction,31,-0.01174368834994279,0.006897628251364028,0.1,false
7,Farming_forestry_construction,32,-0.00155313947497895,0.006566083800389154,0.82,false
7,Farming_forestry_construction,33,-0.004714453722174852,0.007188053431888432,0.44,false
7,Farming_forestry_construction,34,-0.0055477556113330976,0.006912808135667621,0.404,false
7,Farming_forestry_construction,35,-0.008779812930809377,0.007180026142158019,0.224,false
7,Farming_forestry_construction,36,-0.00913630984568515,0.007447850642875355,0.208,false
8,Precision_production_repair,0,-0.009349315099450873,0.005656390288695352,0.128,false
8,Precision_production_repair,1,-0.011606033908743393,0.00608747477433046,0.072,false
8,Precision_production_repair,2,-0.008110507656036112,0.006062947566891762,0.204,false
8,Precision_production_repair,3,-0.010910354049387302,0.00593794546487406,0.092,false
8,Precision_production_repair,4,-0.005377994379437366,0.005653335327646625,0.34,false
8,Precision_production_repair,5,-0.012369373202021113,0.005954232629596038,0.04,false
8,Precision_production_repair,6,-0.005086545619117073,0.005277875598048559,0.368,false
8,Precision_production_repair,7,-0.010438913786370244,0.005942179955889801,0.112,false
8,Precision_production_repair,8,-0.014112295149864909,0.006173925427115984,0.028,false
8,Precision_production_repair,9,-0.010435479445700523,0.007588168776176066,0.168,false
8,Precision_production_repair,10,-0.00886512196118147,0.006147572693204446,0.156,false
8,Precision_production_repair,11,-0.014903418906283198,0.005659645927035636,0.0,true
8,Precision_production_repair,12,-0.019135091132228898,0.005990553931225179,0.0,true
8,Precision_production_repair,13,-0.01497262337917844,0.005326177020491807,0.0,true
8,Precision_production_repair,14,-0.010516069950697385,0.006890343617412595,0.112,false
8,Precision_production_repair,15,-0.007435653692658872,0.0065477878688515855,0.268,false
8,Precision_production_repair,16,-0.011864398885470721,0.0057632732094263185,0.032,false
8,Precision_production_repair,17,-0.008795482828144734,0.006081439609560625,0.128,false
8,Precision_production_repair,18,-0.004343635903556301,0.005801064596496817,0.432,false
8,Precision_production_repair,19,-0.008270958825064543,0.005836026633416723,0.164,false
