ind_group,ind_label,horizon,beta,boot_se,p_value,bh_reject
1,Energy_intensive,26,0.00032008559389393323,0.0004759096768184107,0.472,false
1,Energy_intensive,27,0.00037591130604286535,0.0005126894969020485,0.456,false
1,Energy_intensive,28,1.088605449569726e-5,0.0005137236396010986,0.98,false
1,Energy_intensive,29,0.0005599192553753654,0.0005991185051217586,0.36,false
1,Energy_intensive,30,-0.0002223840407618495,0.0005842790842268868,0.748,false
1,Energy_intensive,31,-0.00015517267125997067,0.0005501422547362635,0.74,false
1,Energy_intensive,32,-2.011463163330274e-6,0.0004755260568129924,1.0,false
1,Energy_intensive,33,-0.00037729645825144623,0.0005866070672371469,0.556,false
1,Energy_intensive,34,-4.860366283155703e-5,0.0005404239921231933,0.94,false
1,Energy_intensive,35,4.761629261844585e-5,0.0004550683217944183,0.88,false
1,Energy_intensive,36,-9.199976017320344e-5,0.0005689848022261993,0.916,false
2,Manufacturing_Construction,0,0.0009224460068393756,0.0007004646658335458,0.144,false
2,Manufacturing_Construction,1,0.00041353132093474213,0.0006772830907082159,0.568,false
2,Manufacturing_Construction,2,0.0007479204453597004,0.0006792608480947691,0.284,false
2,Manufacturing_Construction,3,0.0012847416279932068,0.0008498495713090921,0.164,false
2,Manufacturing_Construction,4,0.0007632052691776981,0.0007681862867885274,0.348,false
2,Manufacturing_Construction,5,-0.00024361639530391625,0.0008110555315402502,0.68,false
2,Manufacturing_Construction,6,0.0010837230485905133,0.0008119570741764787,0.156,false
2,Manufacturing_Construction,7,-0.0008398574660677307,0.000866072771633324,0.364,false
2,Manufacturing_Construction,8,0.0010571562555616253,0.0008689619674631547,0.236,false
2,Manufacturing_Construction,9,0.0007566973103194918,0.0008761610134242702,0.34,false
2,Manufacturing_Construction,10,0.000125460710903963,0.0008331942686570777,0.796,false
2,Manufacturing_Construction,11,0.0007543480683345257,0.0006237581367016392,0.176,false
2,Manufacturing_Construction,12,0.0002298371696766714,0.0007505977812187065,0.732,false
2,Manufacturing_Construction,13,0.0007260001789282464,0.0007653591948428254,0.34,false
2,Manufacturing_Construction,14,0.0006894152434007556,0.0008866051279519468,0.44,false
2,Manufacturing_Construction,15,-0.0003044710117381498,0.0009948305428953861,0.712,false
2,Manufacturing_Construction,16,-0.00044463644395976076,0.0008426780238951159,0.552,false
2,Manufacturing_Construction,17,-0.0006179402830112071,0.0009676322230206563,0.508,false
2,Manufacturing_Construction,18,0.00018157966277797084,0.0010557190187291158,0.884,false
2,Manufacturing_Construction,19,-0.00044266700303664927,0.0009910378436070936,0.7,false
2,Manufacturing_Construction,20,0.00026756330005678276,0.0008392529890964606,0.732,false
2,Manufacturing_Construction,21,-0.0005097180433557172,0.0008193326262222481,0.536,false
2,Manufacturing_Construction,22,0.0001245364066691902,0.0008801234827601892,0.868,false
2,Manufacturing_Construction,23,0.000328032308050405,0.0008431566166757146,0.704,false
2,Manufacturing_Construction,24,-0.000491486231459758,0.0009604565551457992,0.644,false
2,Manufacturing_Construction,25,-0.00020331627038296977,0.0009409480511455672,0.828,false
2,Manufacturing_Construction,26,-0.0001284862457581882,0.0009617822140421639,0.924,false
2,Manufacturing_Construction,27,0.00033065271616106526,0.0009776166493817864,0.68,false
2,Manufacturing_Construction,28,-0.000232810109025192,0.0009029262508958213,0.804,false
2,Manufacturing_Construction,29,-0.0007916345458270492,0.001070807114234079,0.496,false
2,Manufacturing_Construction,30,-0.0003926163759903292,0.0010489092442935906,0.792,false
2,Manufacturing_Construction,31,-6.67638190193431e-5,0.0010483099603899983,1.0,false
2,Manufacturing_Construction,32,0.00011797080598945937,0.001008174447382269,0.888,false
2,Manufacturing_Construction,33,-0.000594334154795099,0.0008855005618623478,0.512,false
2,Manufacturing_Construction,34,-0.0001647340331499196,0.0008133389640972253,0.824,false
2,Manufacturing_Construction,35,-0.0006230546982254456,0.0008564510970398096,0.484,false
2,Manufacturing_Construction,36,0.00015822118386365916,0.0010047375060470824,0.888,false
3,Trade,0,1.2935001425810092e-5,0.0005512370355900871,0.96,false
3,Trade,1,-0.0005726338008882,0.0005300718594977203,0.312,false
3,Trade,2,-0.00010768332510459986,0.0006337856879896841,0.908,false
3,Trade,3,-0.0009953797586501976,0.000549441459605394,0.092,false
3,Trade,4,-0.00038515080995403544,0.0005607566101616784,0.528,false
3,Trade,5,-0.001094804353748229,0.000654664139355356,0.076,false
3,Trade,6,-0.0009352599931616999,0.0006236113705189607,0.124,false
3,Trade,7,-0.0006791826438930119,0.0005824623600413526,0.264,false
3,Trade,8,-0.0009253647489303697,0.0006315737426988313,0.144,false
3,Trade,9,-0.00010373979901757795,0.0005968428926684345,0.864,false
3,Trade,10,-0.0007508688679135931,0.000678637827324363,0.3,false
3,Trade,11,-0.0004355275014816771,0.0005748963403697429,0.4,false
3,Trade,12,-0.0005153960392320073,0.0006876377117711541,0.532,false
3,Trade,13,-0.0011591218757186499,0.0005259587348213857,0.012,false
3,Trade,14,-0.0007210669977403995,0.0006400793319336439,0.26,false
3,Trade,15,-0.0003238883798938703,0.0005708813310838968,0.56,false
3,Trade,16,-0.0007087857841454573,0.0006095018817409189,0.264,false
3,Trade,17,-0.0010568682107937053,0.000576808532973135,0.06,false
3,Trade,18,-0.00011106391850959164,0.0006613548497596545,0.824,false
3,Trade,19,-0.0004343301288786938,0.0006199434214708311,0.408,false
3,Trade,20,-0.0007837665199721199,0.000587350253967682,0.208,false
3,Trade,21,0.000865421565129903,0.0006387581349792734,0.164,false
3,Trade,22,-0.00043430186259326825,0.000584028396261499,0.456,false
3,Trade,23,-0.00013690430535061974,0.0006561045803528471,0.768,false
3,Trade,24,8.833577834029579e-6,0.0006614796891812874,1.0,false
3,Trade,25,-0.0006938198509658194,0.000651493944744823,0.288,false
3,Trade,26,-0.0011710667800273957,0.0006958656321765834,0.104,false
3,Trade,27,-0.000716432022999754,0.0005528375086560712,0.204,false
3,Trade,28,7.239805871452121e-5,0.00061020440711248,0.924,false
3,Trade,29,-0.0006172799834194842,0.0005263032339763672,0.264,false
3,Trade,30,-0.00011523456742849033,0.0005980461395480361,0.828,false
3,Trade,31,-0.0007930513580520808,0.0007452456421951268,0.296,false
3,Trade,32,-0.0004198869398262012,0.0006163319221277401,0.568,false
3,Trade,33,0.0001506793695781133,0.0006180157022628292,0.808,false
3,Trade,34,0.00017925483652829802,0.000603247418130844,0.784,false
3,Trade,35,0.00027054631244658025,0.0006181045617490182,0.636,false
3,Trade,36,-0.0003880641595675793,0.0006518308757208029,0.504,false
4,Services,0,-0.0003864922148310605,0.0008429508899870204,0.636,false
4,Services,1,0.0005087511117871393,0.0008746470258449256,0.54,false
4,Services,2,-0.0005375394787315096,0.000871329387416065,0.52,false
4,Services,3,3.4102210867140426e-5,0.001019288562195982,0.956,false
4,Services,4,0.00046907011315490394,0.0008920979837920775,0.62,false
4,Services,5,0.0021361525649840826,0.0009785551733131953,0.008,false
4,Services,6,0.0004349068542389353,0.0011335535794968882,0.708,false
4,Services,7,0.0015549205817523028,0.0010645056945003573,0.12,false
4,Services,8,4.518900661362895e-5,0.001058865087492983,1.0,false
4,Services,9,0.0004704897098518785,0.0009379125434811113,0.64,false
4,Services,10,0.0007210990960550425,0.0009444824818145682,0.496,false
4,Services,11,-5.135342193545852e-6,0.0007479455400645315,1.0,false
4,Services,12,0.00010479942694642689,0.0009151513717531142,0.932,false
4,Services,13,0.0007288447159587683,0.0010615064578092383,0.492,false
4,Services,14,-0.0001049498787266544,0.0010587712775406977,1.0,false
4,Services,15,0.000783272623290368,0.0011253629115965092,0.44,false
4,Services,16,0.0019539261472063967,0.0011708458237401347,0.092,false
4,Services,17,0.001427672468181155,0.0010663819320284945,0.156,false
4,Services,18,0.00012703692463679323,0.001270570641413333,0.88,false
4,Services,19,0.0011926492038318137,0.0011839096288873575,0.28,false
