occ_group,occ_label,horizon,theta,boot_se,p_value,bh_reject
6,Service,0,0.010267196491430354,0.007336077004558283,0.168,false
6,Service,1,0.007406439171176631,0.006794908089764225,0.296,false
6,Service,2,0.009604589149632132,0.006892901077348871,0.152,false
6,Service,3,0.003241314975668314,0.006820659504573924,0.628,false
6,Service,4,0.001275901900603138,0.007331372222014692,0.764,false
6,Service,5,0.0039350050538188635,0.0063163194113339234,0.524,false
6,Service,6,0.012818077357755975,0.0065596777436037505,0.036,false
6,Service,7,0.013580092224689946,0.006476822803278297,0.024,false
6,Service,8,0.006751731355311988,0.007452970370671072,0.388,false
6,Service,9,0.012734696049747248,0.006914879620278783,0.04,false
6,Service,10,0.015484194032133088,0.005930288617447361,0.004,false
6,Service,11,0.012589820997462451,0.006818817018428502,0.036,false
6,Service,12,0.00600071271059924,0.007026016085907697,0.436,false
6,Service,13,-0.001667944710906623,0.007587567700878978,0.872,false
6,Service,14,0.009665147743032995,0.006831237313635396,0.148,false
6,Service,15,-0.000667916022879081,0.006980999680975778,0.992,false
6,Service,16,0.010554660354059837,0.00714766105273698,0.108,false
6,Service,17,0.009608593710964019,0.008619279654468667,0.26,false
6,Service,18,0.009625076812364854,0.0074565432705831275,0.164,false
6,Service,19,0.004465610994310235,0.006006788959650318,0.344,false
6,Service,20,0.007336161524395578,0.0063577884967896455,0.228,false
6,Service,21,0.01120636873665842,0.006467405684670607,0.072,false
6,Service,22,0.00898201474900891,0.006255155851342121,0.16,false
6,Service,23,0.012385783282038786,0.007021050350088347,0.068,false
6,Service,24,0.008534930229813617,0.006916863621072795,0.2,false
6,Service,25,0.007156809268102332,0.006975936988342667,0.34,false
6,Service,26,0.004342640586504756,0.007655684369617813,0.516,false
6,Service,27,0.010548113495089028,0.007219035996807336,0.164,false
6,Service,28,0.0065947447760122384,0.007944362462977554,0.348,false
6,Service,29,-0.0005424424579694477,0.007873587186881246,0.892,false
6,Service,30,0.005366127988639309,0.008146113863020658,0.572,false
6,Service,31,0.011897841421305575,0.0069630746191283914,0.092,false
6,Service,32,-0.002204241049340345,0.006774564928949355,0.72,false
6,Service,33,0.0020068928758785937,0.006140890384167763,0.736,false
6,Service,34,0.0081915006020157,0.006684301682217273,0.188,false
6,Service,35,0.011490744677666729,0.007084152883893214,0.072,false
6,Service,36,0.0065398393050335344,0.007370710176898124,0.392,false
7,Farming_forestry_construction,0,0.004734499774164754,0.007143366440830157,0.524,false
7,Farming_forestry_construction,1,0.006146438165775595,0.008280283910678133,0.488,false
7,Farming_forestry_construction,2,0.008560463840225291,0.009194662425232305,0.412,false
7,Farming_forestry_construction,3,0.01472045498239118,0.007331701363111711,0.052,false
7,Farming_forestry_construction,4,0.0048323133442122294,0.006384690647260525,0.42,false
7,Farming_forestry_construction,5,0.007741005464390519,0.00832502547042788,0.332,false
7,Farming_forestry_construction,6,0.012702355429646414,0.00719617794569372,0.076,false
7,Farming_forestry_construction,7,0.0046629907512577215,0.0066105567192092,0.412,false
7,Farming_forestry_construction,8,0.00011459316595364932,0.007807597271722247,1.0,false
7,Farming_forestry_construction,9,0.011390710897798815,0.009236920580724717,0.2,false
7,Farming_forestry_construction,10,0.010880047997421271,0.007230913370433187,0.144,false
7,Farming_forestry_construction,11,0.002701392655835391,0.007435657045375225,0.676,false
7,Farming_forestry_construction,12,-0.003264557985863343,0.007464308758958495,0.68,false
7,Farming_forestry_construction,13,0.005135125405333878,0.007862292504752894,0.528,false
7,Farming_forestry_construction,14,0.0016047589991092996,0.0076717837553800195,0.84,false
7,Farming_forestry_construction,15,0.009244774349156517,0.008157268127837668,0.284,false
7,Farming_forestry_construction,16,0.00929769761098415,0.008605025850122554,0.232,false
7,Farming_forestry_construction,17,0.01170008088912596,0.008430718204684134,0.132,false
7,Farming_forestry_construction,18,-0.0016027950327581364,0.0074227186634261795,0.86,false
7,Farming_forestry_construction,19,0.007709041065410808,0.008232057787649284,0.3,false
7,Farming_forestry_construction,20,-0.0008348584994833732,0.008465730125384673,0.932,false
7,Farming_forestry_construction,21,0.008127320325768487,0.00722465362606481,0.32,false
7,Farming_forestry_construction,22,-0.0023916258414484657,0.008112515877980234,0.876,false
7,Farming_forestry_construction,23,0.006393632667972955,0.008575830362654979,0.384,false
7,Farming_forestry_construction,24,0.0086385336092037,0.007889200400482174,0.276,false
